Date,Open,Close,0
,,,"(datetime.date(2015, 1, 1), 100000.0, 99988.0609560658)"
,,,"(datetime.date(2016, 1, 1), 100000.0, 100012.25713922994)"
,,,"(datetime.date(2016, 12, 31), 100000.0, 100000.78215984264)"
,,,"(datetime.date(2017, 12, 31), 100000.0, 99989.01083825041)"
,,,"(datetime.date(2018, 12, 31), 100000.0, 99996.32997215506)"
,,,"(datetime.date(2019, 12, 31), 100000.0, 99979.74375287603)"
