Date,Open,Close,0
,,,2015-01-01
,,,100000.0
,,,99988.0609560658
,,,2016-01-01
,,,100000.0
,,,100012.25713922994
,,,2016-12-31
,,,100000.0
,,,100000.78215984264
,,,2017-12-31
,,,100000.0
,,,99989.01083825041
,,,2018-12-31
,,,100000.0
,,,99996.32997215506
,,,2019-12-31
,,,100000.0
,,,99979.74375287603
